s_id,workex,etest_p,status,Salary
1,No,55,Placed,270000
2,Yes,86.5,Placed,200000
3,No,75,Placed,250000
4,No,66,Not Placed,
5,No,96.8,Placed,425000
6,Yes,55,Not Placed,
7,No,74.28,Not Placed,
8,Yes,67,Placed,252000
9,No,91.34,Placed,231000
10,No,,Not Placed,
11,Yes,62,Placed,260000
12,Yes,60,Placed,250000
13,No,62,Not Placed,
14,No,68,Placed,218000
15,No,76,Not Placed,
16,Yes,72,Placed,200000
17,Yes,60,Placed,300000
18,No,60,Not Placed,
19,No,68,Not Placed,
20,Yes,50.48,Placed,236000
21,No,51,Placed,265000
22,No,,Placed,393000
23,No,55.53,Placed,360000
24,Yes,92,Placed,300000
25,No,97.4,Placed,360000
26,Yes,76,Not Placed,
27,Yes,94,Placed,240000
28,No,68,Placed,265000
29,Yes,73.35,Placed,350000
30,No,77,Not Placed,
31,No,52,Placed,250000
32,No,64,Not Placed,
33,No,50.89,Placed,278000
34,Yes,88,Placed,260000
35,No,68.44,Not Placed,
36,No,71,Placed,300000
37,No,64,Not Placed,
38,No,,Placed,320000
39,No,53.7,Placed,240000
40,No,93,Placed,411000
41,No,60,Placed,287000
42,Yes,,Not Placed,
43,No,63,Not Placed,
44,No,95,Placed,300000
45,Yes,89,Placed,200000
46,No,58,Not Placed,
47,No,68,Not Placed,
48,Yes,78,Placed,204000
49,No,64,Placed,250000
50,No,65,Not Placed,
51,No,65,Placed,200000
52,No,,Not Placed,
53,No,71.2,Not Placed,
54,No,87,Placed,450000
55,No,78,Placed,216000
56,No,71,Placed,220000
57,No,68,Placed,240000
58,No,80,Placed,360000
59,No,74,Placed,268000
60,No,57.6,Placed,265000
61,Yes,60,Placed,260000
62,No,61.6,Placed,300000
63,No,59,Placed,240000
64,No,68.5,Not Placed,
65,No,61,Placed,240000
66,No,89.69,Not Placed,
67,No,68.92,Placed,275000
68,No,68.71,Placed,275000
69,No,79,Not Placed,
70,Yes,,Placed,275000
71,No,89,Placed,360000
72,No,95,Placed,240000
73,No,95.5,Placed,240000
74,No,86,Placed,218000
75,No,84.27,Placed,336000
76,No,74,Not Placed,
77,No,61,Placed,230000
78,Yes,69,Placed,500000
79,No,86.04,Placed,270000
80,No,75,Not Placed,
81,Yes,67,Placed,240000
82,Yes,86,Placed,300000
83,No,82,Not Placed,
84,Yes,84,Placed,300000
85,Yes,55,Placed,300000
86,Yes,78.74,Placed,400000
87,No,67,Placed,220000
88,No,75,Not Placed,
89,No,58,Placed,210000
90,Yes,62,Placed,210000
91,No,92,Placed,300000
92,No,67,Not Placed,
93,No,72,Placed,230000
94,No,72,Not Placed,
95,No,53.88,Placed,260000
96,Yes,95.46,Placed,420000
97,Yes,66,Placed,300000
98,No,93.91,Not Placed,
99,No,70,Placed,220000
100,No,50,Not Placed,
101,Yes,56.39,Not Placed,
102,No,78,Placed,380000
103,Yes,57.5,Placed,300000
104,Yes,85,Placed,240000
105,Yes,55,Placed,360000
106,No,,Not Placed,
107,No,71,Not Placed,
108,No,,Placed,200000
109,No,84,Placed,300000
110,Yes,86,Not Placed,
111,No,57.2,Placed,250000
112,No,60,Not Placed,
113,No,58,Placed,250000
114,No,72.15,Placed,280000
115,No,53.7,Placed,250000
116,No,89,Placed,216000
117,Yes,96,Placed,300000
118,No,80,Placed,240000
119,Yes,97,Placed,276000
120,Yes,82.66,Placed,940000
121,No,73,Not Placed,
122,Yes,55.67,Placed,250000
123,Yes,80.4,Placed,236000
124,Yes,60,Placed,240000
125,Yes,64,Placed,250000
126,No,75,Placed,350000
127,Yes,70,Placed,210000
128,No,55.5,Placed,250000
129,Yes,81.2,Placed,400000
130,Yes,90,Placed,250000
131,No,84,Not Placed,
132,Yes,80,Placed,360000
133,Yes,74.4,Placed,300000
134,Yes,65,Placed,250000
135,Yes,94,Placed,250000
136,No,55.6,Placed,200000
137,No,78,Not Placed,
138,No,56,Placed,225000
139,Yes,96,Placed,250000
140,Yes,58,Placed,220000
141,Yes,56,Placed,265000
142,No,60,Not Placed,
143,Yes,60,Placed,260000
144,No,89,Placed,300000
145,No,60,Not Placed,
146,No,72,Placed,400000
147,No,85,Placed,233000
148,No,83,Placed,300000
149,No,57,Placed,240000
150,Yes,64.25,Not Placed,
151,Yes,56,Placed,690000
152,No,83,Placed,270000
153,No,98,Placed,240000
154,Yes,86,Placed,340000
155,Yes,70,Placed,250000
156,Yes,56.15,Not Placed,
157,Yes,80,Placed,255000
158,No,93.4,Placed,300000
159,No,,Not Placed,
160,No,62,Not Placed,
161,Yes,75,Placed,300000
162,No,57.63,Not Placed,
163,Yes,75.2,Placed,285000
164,No,75,Placed,500000
165,No,53.04,Placed,250000
166,No,80,Not Placed,
167,Yes,63,Placed,240000
168,Yes,58.1,Not Placed,
169,Yes,60,Not Placed,
170,No,54.48,Not Placed,
171,No,58.06,Not Placed,
172,Yes,,Placed,290000
173,No,84,Placed,300000
174,No,67,Not Placed,
175,Yes,64,Placed,500000
176,No,87.5,Not Placed,
177,No,55,Placed,220000
178,Yes,89,Placed,650000
179,No,73,Placed,350000
180,No,75.5,Not Placed,
181,Yes,57,Placed,265000
182,No,63,Not Placed,
183,Yes,75,Not Placed,
184,No,60,Placed,276000
185,No,60,Not Placed,
186,No,82,Placed,252000
187,No,55,Not Placed,
188,Yes,95,Placed,280000
189,No,57,Not Placed,
190,No,95.65,Not Placed,
191,No,50,Not Placed,
192,No,72,Placed,264000
193,Yes,93.4,Placed,270000
194,Yes,80,Placed,300000
195,No,59,Not Placed,
196,Yes,84,Placed,275000
197,Yes,78,Placed,250000
198,No,,Placed,260000
199,No,88,Not Placed,
200,No,73,Placed,265000
201,No,87.55,Placed,300000
202,No,79,Not Placed,
203,No,61.28,Placed,240000
204,No,66,Placed,260000
205,Yes,80,Placed,210000
206,No,62,Placed,250000
207,No,97,Not Placed,
208,Yes,88.56,Placed,300000
209,No,92.66,Not Placed,
210,No,67,Placed,216000
211,No,91,Placed,400000
212,No,74,Placed,275000
213,Yes,59,Placed,295000
214,No,,Placed,204000
215,No,89,Not Placed,
